1668046319.391463 client started (13024): version 3.3a, socket /private/tmp/tmux-644719205/default, protocol 8
1668046319.391516 on Darwin 21.4.0 Darwin Kernel Version 21.4.0: Mon Feb 21 20:34:37 PST 2022; root:xnu-8020.101.4~2/RELEASE_X86_64
1668046319.392128 using libevent 2.1.12-stable (select); utf8proc 2.7.0; ncurses 6.3
1668046319.392179 flags are 0x10010000
1668046319.392196 socket is /private/tmp/tmux-644719205/default
1668046319.392213 trying connect
1668046319.392287 add peer 0x7fb5bc831000: 6 (0x0)
1668046319.395686 sending message 100 to peer 0x7fb5bc831000 (4 bytes)
1668046319.395722 sending message 111 to peer 0x7fb5bc831000 (8 bytes)
1668046319.395747 sending message 101 to peer 0x7fb5bc831000 (15 bytes)
1668046319.395760 sending message 109 to peer 0x7fb5bc831000 (4 bytes)
1668046319.395772 sending message 102 to peer 0x7fb5bc831000 (13 bytes)
1668046319.395782 sending message 108 to peer 0x7fb5bc831000 (25 bytes)
1668046319.395792 sending message 112 to peer 0x7fb5bc831000 (58 bytes)
1668046319.395803 sending message 112 to peer 0x7fb5bc831000 (5 bytes)
1668046319.395813 sending message 112 to peer 0x7fb5bc831000 (5 bytes)
1668046319.395823 sending message 112 to peer 0x7fb5bc831000 (6 bytes)
1668046319.395833 sending message 112 to peer 0x7fb5bc831000 (6 bytes)
1668046319.395843 sending message 112 to peer 0x7fb5bc831000 (11 bytes)
1668046319.395853 sending message 112 to peer 0x7fb5bc831000 (10 bytes)
1668046319.395863 sending message 112 to peer 0x7fb5bc831000 (13 bytes)
1668046319.395873 sending message 112 to peer 0x7fb5bc831000 (14 bytes)
1668046319.395883 sending message 112 to peer 0x7fb5bc831000 (19 bytes)
1668046319.395894 sending message 112 to peer 0x7fb5bc831000 (11 bytes)
1668046319.395904 sending message 112 to peer 0x7fb5bc831000 (10 bytes)
1668046319.395914 sending message 112 to peer 0x7fb5bc831000 (15 bytes)
1668046319.395924 sending message 112 to peer 0x7fb5bc831000 (21 bytes)
1668046319.395934 sending message 112 to peer 0x7fb5bc831000 (13 bytes)
1668046319.395944 sending message 112 to peer 0x7fb5bc831000 (7 bytes)
1668046319.395954 sending message 112 to peer 0x7fb5bc831000 (13 bytes)
1668046319.395964 sending message 112 to peer 0x7fb5bc831000 (7 bytes)
1668046319.395974 sending message 112 to peer 0x7fb5bc831000 (13 bytes)
1668046319.395984 sending message 112 to peer 0x7fb5bc831000 (9 bytes)
1668046319.395994 sending message 112 to peer 0x7fb5bc831000 (21 bytes)
1668046319.396004 sending message 112 to peer 0x7fb5bc831000 (13 bytes)
1668046319.396013 sending message 112 to peer 0x7fb5bc831000 (9 bytes)
1668046319.396023 sending message 112 to peer 0x7fb5bc831000 (16 bytes)
1668046319.396033 sending message 112 to peer 0x7fb5bc831000 (13 bytes)
1668046319.396043 sending message 112 to peer 0x7fb5bc831000 (9 bytes)
1668046319.396053 sending message 112 to peer 0x7fb5bc831000 (9 bytes)
1668046319.396063 sending message 112 to peer 0x7fb5bc831000 (12 bytes)
1668046319.396073 sending message 112 to peer 0x7fb5bc831000 (8 bytes)
1668046319.396083 sending message 112 to peer 0x7fb5bc831000 (8 bytes)
1668046319.396093 sending message 112 to peer 0x7fb5bc831000 (13 bytes)
1668046319.396103 sending message 112 to peer 0x7fb5bc831000 (7 bytes)
1668046319.396113 sending message 112 to peer 0x7fb5bc831000 (7 bytes)
1668046319.396123 sending message 112 to peer 0x7fb5bc831000 (9 bytes)
1668046319.396133 sending message 112 to peer 0x7fb5bc831000 (9 bytes)
1668046319.396143 sending message 112 to peer 0x7fb5bc831000 (15 bytes)
1668046319.396152 sending message 112 to peer 0x7fb5bc831000 (13 bytes)
1668046319.396162 sending message 112 to peer 0x7fb5bc831000 (12 bytes)
1668046319.396172 sending message 112 to peer 0x7fb5bc831000 (8 bytes)
1668046319.396182 sending message 112 to peer 0x7fb5bc831000 (14 bytes)
1668046319.396192 sending message 112 to peer 0x7fb5bc831000 (11 bytes)
1668046319.396202 sending message 112 to peer 0x7fb5bc831000 (9 bytes)
1668046319.396212 sending message 112 to peer 0x7fb5bc831000 (10 bytes)
1668046319.396222 sending message 112 to peer 0x7fb5bc831000 (10 bytes)
1668046319.396232 sending message 112 to peer 0x7fb5bc831000 (10 bytes)
1668046319.396261 sending message 112 to peer 0x7fb5bc831000 (10 bytes)
1668046319.396268 sending message 112 to peer 0x7fb5bc831000 (11 bytes)
1668046319.396275 sending message 112 to peer 0x7fb5bc831000 (12 bytes)
1668046319.396281 sending message 112 to peer 0x7fb5bc831000 (12 bytes)
1668046319.396288 sending message 112 to peer 0x7fb5bc831000 (12 bytes)
1668046319.396294 sending message 112 to peer 0x7fb5bc831000 (12 bytes)
1668046319.396300 sending message 112 to peer 0x7fb5bc831000 (12 bytes)
1668046319.396307 sending message 112 to peer 0x7fb5bc831000 (11 bytes)
1668046319.396313 sending message 112 to peer 0x7fb5bc831000 (11 bytes)
1668046319.396319 sending message 112 to peer 0x7fb5bc831000 (12 bytes)
1668046319.396326 sending message 112 to peer 0x7fb5bc831000 (12 bytes)
1668046319.396332 sending message 112 to peer 0x7fb5bc831000 (12 bytes)
1668046319.396339 sending message 112 to peer 0x7fb5bc831000 (12 bytes)
1668046319.396348 sending message 112 to peer 0x7fb5bc831000 (12 bytes)
1668046319.396355 sending message 112 to peer 0x7fb5bc831000 (9 bytes)
1668046319.396362 sending message 112 to peer 0x7fb5bc831000 (12 bytes)
1668046319.396368 sending message 112 to peer 0x7fb5bc831000 (13 bytes)
1668046319.396374 sending message 112 to peer 0x7fb5bc831000 (13 bytes)
1668046319.396381 sending message 112 to peer 0x7fb5bc831000 (13 bytes)
1668046319.396387 sending message 112 to peer 0x7fb5bc831000 (13 bytes)
1668046319.396394 sending message 112 to peer 0x7fb5bc831000 (13 bytes)
1668046319.396400 sending message 112 to peer 0x7fb5bc831000 (8 bytes)
1668046319.396406 sending message 112 to peer 0x7fb5bc831000 (11 bytes)
1668046319.396412 sending message 112 to peer 0x7fb5bc831000 (11 bytes)
1668046319.396419 sending message 112 to peer 0x7fb5bc831000 (11 bytes)
1668046319.396425 sending message 112 to peer 0x7fb5bc831000 (12 bytes)
1668046319.396431 sending message 112 to peer 0x7fb5bc831000 (12 bytes)
1668046319.396438 sending message 112 to peer 0x7fb5bc831000 (12 bytes)
1668046319.396444 sending message 112 to peer 0x7fb5bc831000 (12 bytes)
1668046319.396451 sending message 112 to peer 0x7fb5bc831000 (13 bytes)
1668046319.396457 sending message 112 to peer 0x7fb5bc831000 (13 bytes)
1668046319.396463 sending message 112 to peer 0x7fb5bc831000 (13 bytes)
1668046319.396470 sending message 112 to peer 0x7fb5bc831000 (8 bytes)
1668046319.396476 sending message 112 to peer 0x7fb5bc831000 (13 bytes)
1668046319.396482 sending message 112 to peer 0x7fb5bc831000 (13 bytes)
1668046319.396489 sending message 112 to peer 0x7fb5bc831000 (13 bytes)
1668046319.396495 sending message 112 to peer 0x7fb5bc831000 (13 bytes)
1668046319.396501 sending message 112 to peer 0x7fb5bc831000 (13 bytes)
1668046319.396507 sending message 112 to peer 0x7fb5bc831000 (12 bytes)
1668046319.396514 sending message 112 to peer 0x7fb5bc831000 (12 bytes)
1668046319.396520 sending message 112 to peer 0x7fb5bc831000 (12 bytes)
1668046319.396527 sending message 112 to peer 0x7fb5bc831000 (12 bytes)
1668046319.396533 sending message 112 to peer 0x7fb5bc831000 (13 bytes)
1668046319.396540 sending message 112 to peer 0x7fb5bc831000 (8 bytes)
1668046319.396546 sending message 112 to peer 0x7fb5bc831000 (13 bytes)
1668046319.396552 sending message 112 to peer 0x7fb5bc831000 (13 bytes)
1668046319.396559 sending message 112 to peer 0x7fb5bc831000 (13 bytes)
1668046319.396565 sending message 112 to peer 0x7fb5bc831000 (13 bytes)
1668046319.396571 sending message 112 to peer 0x7fb5bc831000 (13 bytes)
1668046319.396578 sending message 112 to peer 0x7fb5bc831000 (13 bytes)
1668046319.396584 sending message 112 to peer 0x7fb5bc831000 (13 bytes)
1668046319.396591 sending message 112 to peer 0x7fb5bc831000 (12 bytes)
1668046319.396597 sending message 112 to peer 0x7fb5bc831000 (12 bytes)
1668046319.396604 sending message 112 to peer 0x7fb5bc831000 (12 bytes)
1668046319.396610 sending message 112 to peer 0x7fb5bc831000 (8 bytes)
1668046319.396616 sending message 112 to peer 0x7fb5bc831000 (12 bytes)
1668046319.396638 sending message 112 to peer 0x7fb5bc831000 (13 bytes)
1668046319.396644 sending message 112 to peer 0x7fb5bc831000 (13 bytes)
1668046319.396651 sending message 112 to peer 0x7fb5bc831000 (13 bytes)
1668046319.396657 sending message 112 to peer 0x7fb5bc831000 (13 bytes)
1668046319.396664 sending message 112 to peer 0x7fb5bc831000 (13 bytes)
1668046319.396670 sending message 112 to peer 0x7fb5bc831000 (13 bytes)
1668046319.396676 sending message 112 to peer 0x7fb5bc831000 (13 bytes)
1668046319.396683 sending message 112 to peer 0x7fb5bc831000 (13 bytes)
1668046319.396689 sending message 112 to peer 0x7fb5bc831000 (12 bytes)
1668046319.396696 sending message 112 to peer 0x7fb5bc831000 (10 bytes)
1668046319.396702 sending message 112 to peer 0x7fb5bc831000 (12 bytes)
